entity,spec,aic,bic,loglik,persistence,ljungbox_p_lag10,arch_lm_p
INDIGRID,"GARCH(1,1)-t",916.2888923548658,937.3116811677093,-453.1444461774329,0.4857366035778978,0.1566060340113347,4.908655332758194e-06
INDIGRID,"EGARCH(1,1)-t",916.544318687892,937.5671075007355,-453.272159343946,1.0223728692515568,0.14791412078119986,4.542734532653192e-06
INDIGRID,"GJR-GARCH(1,1)-t",917.1347514464566,942.3620980218687,-452.5673757232283,0.3554649796724856,0.16676725445430754,4.29636487986329e-06
PGINVIT,"GARCH(1,1)-t",966.3407438106724,987.2820644260853,-478.1703719053362,1.00000000000036,0.31697958612499005,0.1430540412154795
PGINVIT,"EGARCH(1,1)-t",959.5798047461365,980.5211253615494,-474.78990237306823,2.4192621109531713,0.2722786346375293,0.1430037943511876
PGINVIT,"GJR-GARCH(1,1)-t",968.1915794090945,993.32116414759,-478.09578970454726,1.0599120921655028,0.3222572560847124,0.14319840659591343
IRBINVIT,"GARCH(1,1)-t",1012.624343982156,1033.6471327949994,-501.312171991078,1.0,0.7843731227697864,7.500326870690799e-08
IRBINVIT,"EGARCH(1,1)-t",1016.8904066366904,1037.9131954495338,-503.4452033183452,1.4198939064635945,0.604253152393064,7.58964509017801e-08
IRBINVIT,"GJR-GARCH(1,1)-t",1013.9922123392807,1039.219558914693,-500.99610616964037,1.121089262528109,0.7965449687271203,7.850199212899867e-08
EMBASSY,"GARCH(1,1)-t",1523.9264675871418,1544.8677882025547,-756.9632337935709,0.22059420338631158,0.0035917780573216517,0.7350352589299955
EMBASSY,"EGARCH(1,1)-t",1524.0121786441737,1544.9534992595866,-757.0060893220868,0.6014818524879086,0.003464634129816372,0.7350028059276956
EMBASSY,"GJR-GARCH(1,1)-t",1525.3324370907824,1550.462021829278,-756.6662185453912,0.24103595468814357,0.004870591703445837,0.7328945519565204
MINDSPACE,"GARCH(1,1)-t",1333.737803386047,1354.7605921988904,-661.8689016930235,0.8586172686564019,0.0018377748961538988,0.003260794776660414
MINDSPACE,"EGARCH(1,1)-t",1335.60435930248,1356.6271481153233,-662.80217965124,1.0575672235412437,0.0011704349265333823,0.0034598485416796887
MINDSPACE,"GJR-GARCH(1,1)-t",1331.9617381026742,1357.1890846780864,-659.9808690513371,0.9333009010197714,0.0014899749719674644,0.0043526944122591615
BIRET,"GARCH(1,1)-t",1286.0024050440943,1307.0251938569377,-638.0012025220472,0.9795018742607727,0.006281635210719101,0.00021926656932524935
BIRET,"EGARCH(1,1)-t",1284.1896933856847,1305.212482198528,-637.0948466928423,1.1823810317960157,0.008957472122713823,0.00021943069914764912
BIRET,"GJR-GARCH(1,1)-t",1287.9232128203048,1313.150559395717,-637.9616064101524,0.9687229415112257,0.006699229235019673,0.00022197395933842845
