proxy,group,pre_mean,post_mean,pct_change,welch_t,p_value,n_pre,n_post
amihud,InvIT,1.0159941018650966,0.07119224056454303,-92.99284902994486,-2.6377761928994676,0.0084498761080218,1237,240
amihud,REIT,1.2266382417866788,0.759707874345224,-38.06585768607215,-3.481546555050939,0.0005267489102005401,1237,240
log_amihud,InvIT,0.33856543678511986,0.06625493698167345,-80.43068494799603,-18.299998177688952,2.410936540447947e-67,1237,240
log_amihud,REIT,0.4480591776011651,0.3800259936857698,-15.183972858146497,-1.7396719184672012,0.08267385560040062,1237,240
cs_spread,InvIT,0.00455699272872777,0.003532163939257164,-22.48914691063639,-3.8186439566335717,0.00015583204842568692,1237,240
cs_spread,REIT,0.006937508323840291,0.005963006052157385,-14.04686273793853,-2.4869919060283565,0.01332228209533691,1237,240
hl_spread,InvIT,0.014019155925460628,0.011222533759562248,-19.948577366340203,-4.803777647213103,2.326666213441355e-06,1237,240
hl_spread,REIT,0.02022230933878879,0.01976028610511813,-2.2847204339043645,-0.6266198031642384,0.5312927821442238,1237,240
zero_ret,InvIT,0.015359741309620048,0.016666666666666666,8.508771929824563,0.14538556968261343,0.8844952507991265,1237,240
zero_ret,REIT,0.0016168148746968471,0.0,-100.0,-1.4147860026160777,0.15738312077851804,1237,240
turnover,InvIT,667685.0080840744,1570065.05,135.15056216483129,2.1295407309778707,0.03421607875455637,1237,240
turnover,REIT,443435.98544866615,357432.76666666666,-19.394731506731887,-1.129906769884617,0.25881708353897775,1237,240
rupee_vol,InvIT,58892920.55298303,147744821.33454168,150.87025732001695,2.4682105583142833,0.014263700576195937,1237,240
rupee_vol,REIT,161283407.14725947,152931223.0982917,-5.178576145369892,-0.28532690056672605,0.7754784743027703,1237,240
