date,open,high,low,close,volume
2025-06-03,307.7,307.7,302.35,304.29,1143.0
2025-06-04,305.7,307.99,302.55,305.27,3269.0
2025-06-05,306.9,307.65,304.03,305.22,7867.0
2025-06-06,307.4,307.4,303.0,304.59,7773.0
2025-06-09,305.0,309.6,305.0,307.55,14065.0
2025-06-10,307.55,310.0,303.61,305.28,8342.0
2025-06-11,305.35,309.8,305.35,308.41,7466.0
2025-06-12,309.8,311.48,306.33,307.87,15894.0
2025-06-13,307.2,308.72,303.22,307.22,11408.0
2025-06-16,309.1,310.3,306.17,308.42,13668.0
2025-06-17,303.1,309.0,303.1,307.62,3457.0
2025-06-18,288.0,308.86,288.0,307.87,7990.0
2025-06-19,310.8,310.8,305.0,307.13,2746.0
2025-06-20,307.13,310.0,303.05,307.37,9083.0
2025-06-23,305.5,311.35,305.24,309.51,10528.0
2025-06-24,310.1,312.0,308.0,311.02,20998.0
2025-06-25,313.85,313.85,308.84,311.62,5928.0
2025-06-26,312.0,314.25,308.11,311.06,3548.0
2025-06-27,313.7,313.7,307.35,311.1,9187.0
2025-06-30,312.1,315.22,311.93,314.7,6717.0
2025-07-01,316.0,316.0,312.0,313.33,3317.0
2025-07-02,315.6,315.6,310.35,311.63,3316.0
2025-07-03,313.8,313.8,308.81,309.65,8240.0
2025-07-04,312.75,312.75,308.0,309.5,12746.0
2025-07-07,309.5,313.0,309.0,310.12,3856.0
2025-07-08,309.3,311.0,308.2,309.1,6423.0
2025-07-09,310.4,314.49,308.0,309.34,11018.0
2025-07-10,309.7,311.2,308.0,309.69,6310.0
2025-07-11,309.64,312.32,308.46,308.94,4127.0
2025-07-14,310.9,310.9,304.55,307.37,5237.0
2025-07-15,307.39,310.8,306.8,308.22,17701.0
2025-07-16,310.0,311.0,307.05,307.24,17693.0
2025-07-17,308.39,310.23,307.35,309.87,5538.0
2025-07-18,310.0,310.23,307.3,308.26,2807.0
2025-07-21,307.35,310.45,307.35,309.7,6696.0
2025-07-22,309.9,314.0,309.0,311.92,11841.0
2025-07-23,313.8,313.8,309.29,311.9,9298.0
2025-07-24,311.3,314.99,311.25,314.77,7272.0
2025-07-25,312.01,316.0,312.01,314.68,11660.0
2025-07-28,316.9,317.5,312.25,316.52,9367.0
2025-07-29,314.96,317.18,314.96,316.42,4181.0
2025-07-30,316.0,318.84,316.0,316.99,993.0
2025-07-31,317.0,317.5,313.0,314.77,5305.0
2025-08-01,314.77,318.7,314.7,317.19,8707.0
2025-08-04,319.8,321.0,315.1,316.75,6949.0
2025-08-05,316.35,320.2,314.16,318.03,28278.0
2025-08-06,315.2,319.88,313.33,317.79,16430.0
2025-08-07,318.2,320.22,316.0,319.6,8224.0
2025-08-08,321.6,321.6,311.2,313.89,5190.0
2025-08-11,314.97,320.0,313.0,313.24,12136.0
2025-08-12,313.61,315.85,313.18,314.05,11476.0
2025-08-13,317.24,317.24,310.85,316.22,14653.0
2025-08-14,315.0,318.5,311.55,314.16,8138.0
2025-08-18,317.4,318.0,314.77,317.61,5192.0
2025-08-19,317.61,320.33,313.9,319.2,9220.0
2025-08-20,320.0,321.89,316.3,321.3,3840.0
2025-08-21,322.0,323.02,317.47,321.43,5219.0
2025-08-22,321.74,325.0,318.0,323.12,5300.0
2025-08-25,326.0,326.0,315.76,316.12,16621.0
2025-08-26,316.95,322.25,315.55,318.41,50656.0
2025-08-28,318.42,318.76,315.0,316.06,5437.0
2025-08-29,318.0,322.0,317.0,319.6,4012.0
2025-09-01,318.8,320.4,315.61,318.04,9351.0
2025-09-02,317.0,320.75,317.0,317.51,3410.0
2025-09-03,318.94,324.88,318.0,318.35,7349.0
2025-09-04,321.78,321.78,318.83,320.07,3504.0
2025-09-05,320.57,321.0,318.25,319.21,3089.0
2025-09-08,320.1,321.3,315.11,317.98,6788.0
2025-09-09,320.7,320.7,317.97,319.84,5684.0
2025-09-10,320.74,321.5,318.2,319.95,5730.0
2025-09-11,321.0,321.0,319.01,319.94,1337.0
2025-09-12,320.0,321.78,317.61,320.12,4778.0
2025-09-15,321.5,343.78,321.25,329.83,25998.0
2025-09-16,331.98,338.0,331.02,333.67,5438.0
2025-09-17,335.25,339.7,324.67,328.52,17383.0
2025-09-18,326.3,331.57,326.3,328.3,3488.0
2025-09-19,328.3,332.24,327.01,329.22,7654.0
2025-09-22,328.8,333.5,326.36,329.24,13910.0
2025-09-23,328.5,331.77,327.18,329.25,7880.0
2025-09-24,331.0,331.43,328.98,329.9,14491.0
2025-09-25,329.99,333.5,327.33,331.79,14171.0
2025-09-26,332.74,349.56,332.74,341.13,24291.0
2025-09-29,339.1,349.99,339.1,344.51,16592.0
2025-09-30,346.0,349.0,342.01,343.23,7402.0
2025-10-01,346.23,349.75,345.0,347.86,9612.0
2025-10-03,349.4,350.0,345.25,347.28,11327.0
2025-10-06,350.7,350.7,341.6,346.82,9947.0
2025-10-07,347.99,349.48,342.16,345.02,4117.0
2025-10-08,349.0,349.0,343.0,344.7,7858.0
2025-10-09,343.1,347.89,342.87,344.17,6887.0
