date,open,high,low,close,volume
2024-04-01,256.8,261.15,253.34,260.02,16403.0
2024-04-02,261.99,263.99,257.2,262.25,16910.0
2024-04-03,264.8,264.8,261.0,262.03,8603.0
2024-04-04,262.03,263.0,260.0,261.79,9843.0
2024-04-05,263.8,268.39,260.0,260.88,16747.0
2024-04-08,260.0,261.25,258.1,258.42,2541.0
2024-04-09,262.9,262.9,256.0,258.03,4982.0
2024-04-10,257.0,258.81,256.0,258.12,25407.0
2024-04-12,255.31,258.63,255.31,255.99,23964.0
2024-04-15,257.25,257.25,252.85,254.68,6936.0
2024-04-16,253.99,254.89,252.09,253.03,14828.0
2024-04-18,254.0,255.23,252.51,254.64,19534.0
2024-04-19,257.5,261.91,253.31,255.03,8354.0
2024-04-22,257.48,257.48,252.39,254.86,5136.0
2024-04-23,254.89,255.19,253.59,254.35,6304.0
2024-04-24,253.75,258.1,253.75,254.11,3559.0
2024-04-25,254.74,255.0,253.6,253.92,1533.0
2024-04-26,250.61,257.05,250.61,254.35,1784.0
2024-04-29,256.0,256.0,249.86,252.71,4676.0
2024-04-30,254.7,254.7,252.25,252.6,5861.0
2024-05-02,255.0,255.0,252.02,252.73,4604.0
2024-05-03,254.0,254.87,252.92,254.34,6110.0
2024-05-06,256.0,256.0,250.0,250.98,2706.0
2024-05-07,254.0,254.0,251.98,253.39,5585.0
2024-05-08,253.39,254.19,247.65,252.27,18675.0
2024-05-09,251.0,254.14,250.5,252.86,4400.0
2024-05-10,251.21,254.0,251.0,253.49,4580.0
2024-05-13,253.8,253.95,250.5,252.74,7583.0
2024-05-14,253.6,253.99,251.8,253.99,4868.0
2024-05-15,255.0,258.98,253.56,255.92,3588.0
2024-05-16,254.0,258.5,254.0,257.77,17205.0
2024-05-17,258.6,259.92,256.35,257.71,32993.0
2024-05-18,258.68,258.68,258.0,258.16,509.0
2024-05-21,257.0,259.8,257.0,258.63,10382.0
2024-05-22,260.98,260.98,252.72,258.13,22709.0
2024-05-23,256.02,260.9,256.02,258.55,6609.0
2024-05-24,255.72,261.95,253.95,260.88,5838.0
2024-05-27,256.0,260.77,256.0,258.53,10879.0
2024-05-28,258.5,259.29,257.25,258.85,3656.0
2024-05-29,259.0,260.18,258.16,259.08,8404.0
2024-05-30,264.0,264.0,258.7,259.92,14439.0
2024-05-31,259.0,263.07,259.0,261.14,9425.0
2024-06-03,258.31,266.16,258.31,259.83,20615.0
2024-06-04,261.9,261.9,251.61,253.69,36188.0
2024-06-05,255.0,256.19,252.2,254.46,16087.0
2024-06-06,258.0,260.0,252.14,258.45,6032.0
2024-06-07,259.7,260.0,257.5,259.08,10468.0
2024-06-10,263.99,263.99,257.04,258.0,8791.0
2024-06-11,262.64,262.64,257.5,260.35,1839.0
2024-06-12,260.0,262.3,260.0,261.43,16876.0
2024-06-13,257.01,269.85,257.01,266.89,15390.0
2024-06-14,266.89,268.0,265.05,265.76,3533.0
2024-06-18,266.5,269.04,262.1,268.41,11283.0
2024-06-19,269.89,271.28,265.36,268.19,25633.0
2024-06-20,269.35,269.4,266.0,267.34,2981.0
2024-06-21,265.66,269.6,265.66,267.18,7329.0
2024-06-24,267.0,267.0,262.22,263.69,26126.0
2024-06-25,262.05,268.0,262.05,265.94,10226.0
2024-06-26,269.0,269.4,263.0,263.5,28353.0
2024-06-27,264.8,266.43,262.25,263.18,3705.0
2024-06-28,263.01,267.9,263.0,264.92,17511.0
2024-07-01,265.99,268.0,263.0,267.11,19361.0
2024-07-02,265.06,267.48,265.06,266.24,2225.0
2024-07-03,268.79,270.82,264.52,269.18,19329.0
2024-07-04,270.0,271.69,265.5,269.3,10164.0
2024-07-05,271.0,271.0,265.3,267.63,17362.0
2024-07-08,269.85,269.85,264.5,266.61,8702.0
