date,open,high,low,close,volume
2024-01-01,323.8,328.99,323.51,327.13,150496.0
2024-01-02,327.99,329.55,323.3,328.8,1329680.0
2024-01-03,329.69,332.0,329.15,331.14,1001154.0
2024-01-04,331.4,334.0,330.11,332.02,3669515.0
2024-01-05,332.1,334.5,329.56,332.55,1335087.0
2024-01-08,334.75,334.75,326.6,328.66,608945.0
2024-01-09,329.95,337.0,326.01,334.42,709492.0
2024-01-10,335.8,342.74,334.66,341.59,1051273.0
2024-01-11,342.0,352.85,341.59,349.99,1459904.0
2024-01-12,350.25,357.3,342.99,349.95,1957234.0
2024-01-15,352.95,352.95,345.0,346.43,466777.0
2024-01-16,348.75,354.74,339.65,349.99,1372110.0
2024-01-17,349.0,356.1,345.75,351.51,6341638.0
2024-01-18,350.26,356.64,349.0,354.78,975575.0
2024-01-19,354.78,357.5,348.6,351.39,635181.0
2024-01-23,347.7,357.74,346.0,353.54,1950274.0
2024-01-24,352.0,355.0,349.0,354.92,468900.0
2024-01-25,352.55,354.89,348.8,349.71,327861.0
2024-01-29,351.0,356.9,347.0,353.8,715524.0
2024-01-30,354.79,357.89,346.49,351.07,467850.0
2024-01-31,353.9,363.85,351.14,359.15,1405725.0
2024-02-01,361.97,367.7,358.0,365.25,646520.0
2024-02-02,365.97,369.9,362.26,368.6,566187.0
2024-02-05,368.0,368.85,355.9,365.94,240346.0
2024-02-06,367.49,372.0,355.2,364.64,1028310.0
2024-02-07,366.0,369.97,361.0,365.09,684512.0
2024-02-08,365.1,367.45,361.0,364.49,347315.0
2024-02-09,364.5,369.43,362.0,362.91,355284.0
2024-02-12,362.0,364.95,354.01,358.15,852623.0
2024-02-13,360.0,364.9,357.0,362.5,1316546.0
2024-02-14,363.4,370.02,360.25,368.86,721744.0
2024-02-15,366.0,370.0,366.0,368.8,628023.0
2024-02-16,368.8,369.97,357.74,367.91,492154.0
2024-02-19,367.9,368.29,366.0,367.92,3237102.0
2024-02-20,368.29,369.0,364.0,367.9,4620159.0
2024-02-21,369.4,369.4,324.1,358.92,512582.0
2024-02-22,357.75,358.88,352.01,353.91,418856.0
2024-02-23,355.92,365.85,355.0,363.95,4457217.0
2024-02-26,368.0,370.0,365.85,369.28,1264740.0
2024-02-27,370.0,370.95,361.2,366.97,1267182.0
2024-02-28,367.7,368.0,363.5,365.47,640049.0
2024-02-29,367.99,387.95,364.46,373.8,2403844.0
2024-03-01,379.8,380.0,375.0,378.21,366366.0
2024-03-04,378.3,378.48,372.25,373.51,346608.0
2024-03-05,376.0,386.95,374.99,383.65,1923615.0
2024-03-06,382.55,382.55,371.0,373.92,629397.0
2024-03-07,377.65,380.0,373.92,378.35,400373.0
2024-03-11,380.8,380.9,375.0,379.54,1317595.0
2024-03-12,380.99,381.0,371.11,375.44,715733.0
2024-03-13,376.4,384.0,374.11,382.16,1713628.0
2024-03-14,381.8,387.0,365.25,385.17,2494532.0
2024-03-18,395.03,395.99,380.2,384.85,2304246.0
2024-03-19,385.35,385.35,370.26,383.06,775168.0
2024-03-20,384.95,384.95,368.0,370.23,234236.0
2024-03-21,372.2,377.97,369.0,375.23,720382.0
2024-03-22,375.97,376.95,374.03,375.98,200324.0
2024-03-26,375.23,378.64,372.0,375.48,317841.0
2024-03-27,377.4,379.97,371.0,377.03,373253.0
2024-03-28,377.97,382.95,366.9,369.61,497845.0
2024-04-01,373.0,374.95,364.15,366.74,279439.0
2024-04-02,368.0,375.97,366.7,370.64,342465.0
2024-04-03,369.5,376.95,369.01,371.92,552673.0
2024-04-04,371.92,378.65,371.52,375.49,766124.0
2024-04-05,376.8,377.9,370.55,374.54,1943092.0
2024-04-08,378.0,378.0,370.5,374.2,1978471.0
2024-04-09,374.0,375.0,368.5,369.77,719265.0
2024-04-10,369.0,370.24,362.5,365.18,431261.0
2024-04-12,364.73,364.99,352.6,356.11,1171718.0
2024-04-15,356.0,358.3,349.49,353.31,1369423.0
2024-04-16,356.7,356.7,349.22,349.9,1080671.0
2024-04-18,353.0,374.5,350.61,363.91,1805128.0
2024-04-19,364.95,370.0,363.05,364.99,462432.0
2024-04-22,368.5,369.49,358.15,359.3,804277.0
2024-04-23,360.0,367.0,359.51,364.0,927057.0
2024-04-24,365.49,368.95,356.53,367.29,741417.0
