date,open,high,low,close,volume
2025-06-03,148.0,149.32,148.0,149.04,30912.0
2025-06-04,149.32,151.0,149.32,150.22,31883.0
2025-06-05,151.0,151.01,149.1,150.92,17600.0
2025-06-06,150.92,152.0,150.55,151.88,49978.0
2025-06-09,151.9,154.15,151.15,152.94,59354.0
2025-06-10,154.0,154.0,153.1,153.51,19982.0
2025-06-11,154.5,154.5,152.0,153.37,30632.0
2025-06-12,153.03,154.0,149.31,153.5,81915.0
2025-06-13,153.5,155.0,152.9,153.74,26289.0
2025-06-16,153.5,154.41,152.05,153.6,13498.0
2025-06-17,154.7,154.76,153.07,153.4,15152.0
2025-06-18,153.98,154.79,153.05,153.91,10077.0
2025-06-19,153.05,154.5,153.05,153.99,30955.0
2025-06-20,155.4,155.4,153.62,154.66,16077.0
2025-06-23,154.89,155.0,153.25,154.55,51004.0
2025-06-24,154.02,155.5,152.35,154.9,33294.0
2025-06-25,155.15,155.7,153.56,155.07,51694.0
2025-06-26,155.15,155.48,151.99,152.41,64077.0
2025-06-27,152.75,155.0,150.1,154.77,27007.0
2025-06-30,155.0,156.5,148.2,150.31,402464.0
2025-07-01,151.4,154.84,150.68,154.33,36616.0
2025-07-02,154.93,155.48,153.5,154.9,8988.0
2025-07-03,154.0,155.19,153.11,155.07,16813.0
2025-07-04,155.05,155.32,153.67,154.42,13177.0
2025-07-07,154.6,155.0,154.05,154.8,12371.0
2025-07-08,154.8,155.8,153.51,155.0,29745.0
2025-07-09,155.0,155.5,154.4,154.99,23916.0
2025-07-10,155.5,155.5,154.25,154.41,19216.0
2025-07-11,154.7,155.83,154.59,155.49,12777.0
2025-07-14,156.9,156.9,155.0,155.75,9088.0
2025-07-15,156.12,156.2,155.0,155.53,15129.0
2025-07-16,157.16,157.16,155.4,156.05,14496.0
2025-07-17,156.05,156.49,155.6,155.73,13584.0
2025-07-18,157.0,157.0,155.5,156.29,17230.0
2025-07-21,156.29,157.0,156.0,156.87,55756.0
2025-07-22,157.11,157.5,156.8,157.25,17096.0
2025-07-23,157.5,157.87,157.33,157.57,24614.0
2025-07-24,157.9,157.9,157.13,157.62,13450.0
2025-07-25,157.0,157.98,156.11,157.56,61672.0
2025-07-28,157.97,158.53,157.5,158.19,70472.0
2025-07-29,154.96,157.86,154.96,156.43,41943.0
2025-07-30,155.11,157.98,155.11,156.05,576056.0
2025-07-31,156.05,156.7,155.2,156.13,457620.0
2025-08-01,155.21,157.01,155.21,156.05,165563.0
2025-08-04,156.3,156.87,154.0,156.17,473920.0
2025-08-05,156.85,156.87,155.21,156.56,610397.0
2025-08-06,157.48,157.69,156.0,156.56,335593.0
2025-08-07,155.5,157.0,155.5,155.82,562305.0
2025-08-08,155.26,157.4,155.26,157.27,603276.0
2025-08-11,157.5,159.45,156.47,156.92,716503.0
2025-08-12,158.42,158.42,156.5,157.19,331396.0
2025-08-13,158.76,158.76,157.01,158.16,310895.0
2025-08-14,158.8,159.92,157.8,159.8,981084.0
2025-08-18,160.0,160.0,159.0,159.5,1201782.0
2025-08-19,160.0,160.0,159.15,159.87,1002380.0
2025-08-20,159.99,160.0,159.0,159.99,1103202.0
2025-08-21,160.0,160.0,158.75,159.2,676202.0
2025-08-22,159.8,160.0,159.19,159.49,523858.0
2025-08-25,159.89,160.0,159.7,159.97,1930984.0
2025-08-26,160.39,163.89,159.26,161.06,1315709.0
2025-08-28,162.47,162.47,159.35,161.46,1591692.0
2025-08-29,161.88,165.47,161.88,164.34,1736419.0
2025-09-01,165.48,166.97,163.75,164.49,1889804.0
2025-09-02,165.0,165.0,164.02,164.4,1249041.0
2025-09-03,165.4,166.0,164.4,165.22,1126035.0
2025-09-04,166.4,166.4,165.11,165.49,776434.0
2025-09-05,166.29,166.29,165.15,165.39,610263.0
2025-09-08,165.39,166.34,165.3,165.71,580656.0
2025-09-09,166.29,166.29,165.5,165.82,426048.0
2025-09-10,166.47,170.13,165.62,168.73,1122152.0
2025-09-11,170.65,170.65,168.05,168.49,1096207.0
2025-09-12,169.4,169.9,167.51,167.89,878751.0
2025-09-15,169.48,169.48,167.5,168.05,836139.0
2025-09-16,169.0,169.0,167.9,168.6,1962811.0
2025-09-17,168.99,169.0,168.11,168.49,1366079.0
2025-09-18,168.94,168.98,167.51,167.81,313437.0
2025-09-19,168.3,172.05,162.15,168.9,37601437.0
2025-09-22,168.9,169.0,167.0,167.74,426775.0
2025-09-23,167.01,168.25,165.9,166.77,362314.0
2025-09-24,168.0,168.0,166.75,167.49,421294.0
2025-09-25,168.89,168.89,167.25,167.88,251344.0
2025-09-26,168.4,168.4,167.4,167.74,419077.0
2025-09-29,168.25,168.5,167.32,167.45,374527.0
2025-09-30,167.4,167.95,162.1,165.01,410184.0
2025-10-01,165.1,168.56,165.1,168.16,562045.0
2025-10-03,168.69,169.0,168.16,168.79,549611.0
2025-10-06,168.17,169.19,167.96,168.5,306366.0
2025-10-07,168.5,168.88,168.01,168.34,620814.0
2025-10-08,168.85,168.85,168.0,168.49,989319.0
2025-10-09,168.8,173.79,168.1,168.22,465060.0
2025-10-10,168.7,168.99,168.22,168.69,271694.0
2025-10-13,168.98,168.98,168.25,168.49,184904.0
2025-10-14,168.77,169.5,168.53,168.93,495310.0
2025-10-15,168.75,169.32,168.51,168.98,214037.0
2025-10-16,168.83,170.9,168.83,170.02,314735.0
2025-10-17,170.9,171.9,169.8,171.02,384595.0
2025-10-20,172.4,172.4,170.51,171.86,143897.0
2025-10-21,172.0,172.8,171.85,172.34,108792.0
2025-10-23,173.0,173.0,171.7,172.73,431176.0
2025-10-24,172.9,173.2,172.1,172.96,345540.0
2025-10-27,173.11,173.87,170.0,172.31,282045.0
2025-10-28,172.97,173.0,172.35,172.81,186842.0
2025-10-29,173.5,173.5,167.11,169.77,760316.0
2025-10-30,169.41,174.0,169.41,173.75,266828.0
2025-10-31,172.81,173.76,170.01,171.86,372499.0
2025-11-03,171.86,173.22,170.8,172.02,202864.0
2025-11-04,172.85,172.98,171.1,171.27,201227.0
2025-11-06,172.6,172.6,171.54,172.08,214027.0
2025-11-07,172.48,172.7,171.51,171.96,168007.0
2025-11-10,172.6,172.6,171.25,171.37,358247.0
2025-11-11,171.95,172.25,171.52,171.94,832979.0
2025-11-12,172.0,172.52,171.52,171.9,1774716.0
2025-11-13,172.0,172.0,171.25,171.43,596040.0
2025-11-14,169.1,169.49,167.05,167.76,602546.0
2025-11-17,168.5,168.5,164.56,166.44,312329.0
2025-11-18,166.9,168.16,166.44,167.92,874019.0
