date,open,high,low,close,volume
2024-04-01,133.07,133.79,131.55,133.55,34331.0
2024-04-02,134.89,134.89,133.0,133.65,21949.0
2024-04-03,134.5,134.5,132.61,133.17,19284.0
2024-04-04,134.02,135.89,133.0,134.53,16819.0
2024-04-05,134.65,134.65,132.91,132.97,32561.0
2024-04-08,134.3,134.3,131.0,133.05,45309.0
2024-04-09,134.1,134.1,132.02,133.21,20300.0
2024-04-10,133.15,133.4,130.4,130.79,76121.0
2024-04-12,132.88,133.69,132.27,133.15,8757.0
2024-04-15,133.8,135.0,132.3,134.64,28531.0
2024-04-16,134.95,135.6,133.9,135.0,27307.0
2024-04-18,135.0,137.42,134.5,136.52,31936.0
2024-04-19,137.42,137.42,134.1,136.04,90826.0
2024-04-22,137.0,137.0,135.2,136.38,27045.0
2024-04-23,136.8,137.0,136.44,136.75,16549.0
2024-04-24,137.0,137.3,135.6,136.77,4758.0
2024-04-25,137.0,137.09,135.6,136.16,8955.0
2024-04-26,136.0,137.0,135.42,136.31,50915.0
2024-04-29,137.59,138.2,135.1,136.77,128432.0
2024-04-30,136.97,137.97,135.75,137.45,23765.0
2024-05-02,138.35,138.35,136.5,137.38,10984.0
2024-05-03,137.4,138.58,136.95,138.0,16036.0
2024-05-06,138.99,138.99,136.11,137.09,14110.0
2024-05-07,137.45,137.8,135.51,135.92,17119.0
2024-05-08,136.99,136.99,135.5,136.13,12027.0
2024-05-09,137.0,137.0,134.4,134.8,22224.0
2024-05-10,135.2,136.24,135.0,136.2,30189.0
2024-05-13,136.9,136.97,134.9,136.06,25087.0
2024-05-14,136.0,136.95,135.0,136.36,13118.0
2024-05-15,137.59,137.59,135.4,136.33,2505.0
2024-05-16,136.33,136.9,135.11,136.0,12298.0
2024-05-17,137.0,137.0,135.05,136.45,5952.0
2024-05-18,136.87,137.84,136.87,137.84,1586.0
2024-05-21,137.5,137.5,135.0,136.49,82392.0
2024-05-22,136.04,137.08,135.75,136.02,49871.0
2024-05-23,136.5,136.5,135.05,135.98,33875.0
2024-05-24,136.0,136.49,135.2,136.39,12418.0
2024-05-27,138.75,138.75,135.95,137.22,117656.0
2024-05-28,136.75,137.0,136.15,136.49,36949.0
2024-05-29,136.1,137.0,136.1,136.46,63701.0
2024-05-30,132.15,134.95,132.15,133.66,54350.0
2024-05-31,133.2,134.0,133.2,133.9,20384.0
2024-06-03,135.49,135.49,131.4,133.13,109898.0
2024-06-04,133.13,133.3,131.0,132.61,75972.0
2024-06-05,133.1,133.3,131.05,132.98,35618.0
2024-06-06,134.39,134.39,133.0,133.1,4382.0
2024-06-07,133.6,133.7,132.26,133.25,23136.0
2024-06-10,133.25,133.8,132.98,133.13,46772.0
2024-06-11,133.79,134.0,132.5,133.21,20409.0
2024-06-12,133.58,134.0,133.24,133.57,19794.0
2024-06-13,134.0,134.0,133.01,133.33,22003.0
2024-06-14,133.5,134.0,133.15,133.45,87003.0
2024-06-18,134.9,135.82,133.45,135.2,37712.0
2024-06-19,135.21,135.9,133.51,135.5,28107.0
2024-06-20,136.0,136.0,131.0,135.71,64613.0
2024-06-21,137.0,137.0,134.12,135.98,26294.0
2024-06-24,136.0,136.48,135.06,135.42,18916.0
2024-06-25,136.1,136.49,135.0,135.21,16311.0
2024-06-26,136.0,136.29,134.05,135.78,41757.0
2024-06-27,135.85,136.0,135.05,135.71,15510.0
2024-06-28,136.0,136.0,135.05,135.46,7883.0
2024-07-01,135.5,136.99,135.5,136.31,17939.0
2024-07-02,135.9,136.61,134.18,134.99,95944.0
2024-07-03,136.05,136.98,135.12,136.68,19017.0
2024-07-04,137.5,137.6,135.55,137.52,40837.0
2024-07-05,138.1,138.1,137.0,137.48,38580.0
2024-07-08,138.39,140.48,137.9,138.99,49924.0
2024-07-09,138.99,139.9,137.8,138.67,26975.0
2024-07-10,138.0,139.4,138.0,138.62,46855.0
2024-07-11,139.0,139.52,138.45,139.12,1101794.0
2024-07-12,139.9,139.9,139.12,139.21,13414.0
2024-07-15,139.85,140.34,138.81,139.04,23822.0
2024-07-16,139.6,139.65,139.0,139.0,29374.0
2024-07-18,139.0,139.63,138.2,139.01,30537.0
2024-07-19,139.99,140.28,138.84,140.12,16783.0
2024-07-22,140.12,142.99,139.51,141.56,26664.0
2024-07-23,141.39,141.39,139.0,140.01,69516.0
2024-07-24,140.72,141.46,140.2,140.49,7798.0
2024-07-25,141.19,142.4,141.0,141.64,56850.0
2024-07-26,142.45,142.45,141.2,141.94,41275.0
2024-07-29,142.0,142.97,140.25,142.12,61171.0
2024-07-30,139.77,141.9,138.84,140.97,41501.0
2024-07-31,143.0,143.0,140.0,141.22,12539.0
2024-08-01,143.1,143.1,141.0,141.57,7300.0
2024-08-02,141.31,141.91,140.9,141.64,41025.0
2024-08-05,141.64,141.64,139.45,140.42,18979.0
2024-08-06,141.34,141.65,140.01,141.35,63685.0
2024-08-07,141.0,141.75,140.26,141.39,17437.0
2024-08-08,140.96,142.99,140.96,142.74,96289.0
2024-08-09,142.42,142.79,141.32,141.91,9904.0
2024-08-12,141.8,142.7,140.17,140.52,29936.0
2024-08-13,141.1,141.13,138.5,138.72,80159.0
2024-08-14,139.94,139.94,138.51,138.86,22536.0
2024-08-16,139.86,139.86,137.56,138.69,41874.0
2024-08-19,139.8,139.8,138.0,138.85,80098.0
2024-08-20,139.7,139.7,136.88,137.08,27987.0
2024-08-21,138.4,138.4,135.98,136.1,68140.0
2024-08-22,136.0,137.0,134.35,134.55,233325.0
2024-08-23,134.5,137.93,134.5,137.25,67684.0
2024-08-26,135.1,137.6,135.0,136.55,4806796.0
2024-08-27,136.5,137.2,135.53,137.07,115860.0
2024-08-28,137.4,137.74,136.51,137.48,63976.0
2024-08-29,137.5,137.9,136.8,137.78,31821.0
2024-08-30,137.9,137.99,137.06,137.58,54444.0
2024-09-02,137.58,138.97,137.11,138.78,15255.0
2024-09-03,139.99,140.23,138.6,140.1,21711.0
2024-09-04,139.62,141.4,139.6,141.0,44193.0
