date,open,high,low,close,volume
2024-01-01,68.99,69.64,68.9,69.59,123756.0
2024-01-02,69.79,69.99,68.99,69.03,347839.0
2024-01-03,69.48,69.48,68.3,68.74,435773.0
2024-01-04,68.74,69.19,68.53,68.61,372647.0
2024-01-05,68.61,68.98,68.5,68.57,206187.0
2024-01-08,68.94,69.25,68.5,68.59,167197.0
2024-01-09,69.09,69.09,68.3,68.69,329187.0
2024-01-10,68.5,68.84,68.5,68.69,183137.0
2024-01-11,68.68,69.5,68.62,68.99,305832.0
2024-01-12,69.0,69.79,68.87,69.39,402455.0
2024-01-15,70.3,70.3,69.51,69.82,365454.0
2024-01-16,70.0,70.39,69.61,69.96,266319.0
2024-01-17,70.0,70.18,69.82,69.99,336270.0
2024-01-18,70.4,70.4,69.6,69.75,284298.0
2024-01-19,70.29,70.29,69.75,69.87,182504.0
2024-01-20,70.29,70.29,68.6,69.42,305663.0
2024-01-23,69.89,69.89,68.71,69.1,282645.0
2024-01-24,69.3,69.72,68.66,68.83,289921.0
2024-01-25,69.45,69.45,68.75,68.86,198560.0
2024-01-29,69.19,69.92,68.86,68.99,420013.0
2024-01-30,69.28,69.93,69.02,69.8,244751.0
2024-01-31,70.2,70.2,69.3,69.7,334476.0
2024-02-01,70.1,70.49,69.36,69.9,235208.0
2024-02-02,70.0,70.43,69.5,69.99,566334.0
2024-02-05,68.5,69.3,68.3,68.74,612616.0
2024-02-06,69.14,69.2,68.51,69.16,221700.0
2024-02-07,68.45,69.25,68.45,68.74,423672.0
2024-02-08,69.19,69.19,68.52,68.85,591278.0
2024-02-09,69.19,69.19,68.2,68.25,442380.0
2024-02-12,68.72,68.72,67.5,67.62,434749.0
2024-02-13,67.62,68.18,67.2,67.29,594874.0
2024-02-14,67.7,68.18,67.4,68.05,198734.0
2024-02-15,68.24,68.43,68.0,68.02,252297.0
2024-02-16,68.69,68.69,68.05,68.1,105686.0
2024-02-19,68.4,68.75,68.1,68.47,231597.0
2024-02-20,68.79,69.0,68.1,68.45,128895.0
2024-02-21,68.97,68.97,68.2,68.47,187711.0
2024-02-22,68.5,68.69,68.1,68.15,230840.0
2024-02-23,68.15,68.45,67.8,67.91,576775.0
2024-02-26,67.95,68.75,67.11,68.21,155585.0
2024-02-27,68.59,68.59,67.5,67.73,146094.0
2024-02-28,68.27,68.75,67.9,68.25,230707.0
2024-02-29,68.5,68.63,67.7,68.05,863840.0
2024-03-01,68.45,68.75,67.78,68.38,247865.0
2024-03-02,68.7,69.5,68.02,68.57,23724.0
2024-03-04,68.8,69.0,68.16,68.25,686394.0
2024-03-05,68.2,68.74,67.5,67.99,653023.0
2024-03-06,68.0,68.29,67.7,67.76,301396.0
2024-03-07,68.36,68.72,67.76,68.68,304660.0
2024-03-11,68.1,68.99,68.03,68.45,104370.0
2024-03-12,68.46,68.8,67.02,67.6,217436.0
2024-03-13,67.98,68.2,67.05,67.17,195964.0
2024-03-14,67.15,67.75,66.65,67.16,284292.0
2024-03-15,67.3,68.52,67.2,68.12,705383.0
2024-03-18,68.47,68.47,67.28,67.41,313101.0
2024-03-19,67.84,68.25,67.15,67.44,240247.0
2024-03-20,67.9,67.92,67.01,67.54,269238.0
2024-03-21,68.6,68.6,67.55,67.85,185162.0
2024-03-22,67.99,68.03,67.41,67.63,170412.0
2024-03-26,68.0,68.0,67.12,67.21,423115.0
2024-03-27,67.7,67.7,66.86,66.94,498245.0
2024-03-28,67.39,67.4,66.7,66.89,276010.0
2024-04-01,67.89,68.0,67.03,67.9,202079.0
2024-04-02,67.9,68.41,67.75,68.11,182605.0
2024-04-03,68.23,68.85,67.07,68.5,101401.0
2024-04-04,68.9,68.9,68.0,68.7,247294.0
2024-04-05,68.7,68.95,68.05,68.27,209593.0
2024-04-08,68.28,68.75,67.52,67.87,327002.0
2024-04-09,68.58,68.75,68.03,68.31,185024.0
2024-04-10,68.55,68.6,68.1,68.15,168849.0
2024-04-12,68.66,68.66,67.71,67.99,468754.0
2024-04-15,68.38,68.38,67.52,67.7,801873.0
2024-04-16,67.88,67.92,67.3,67.53,316109.0
2024-04-18,67.54,67.98,67.17,67.24,537915.0
2024-04-19,67.83,67.83,67.25,67.49,207316.0
2024-04-22,67.0,67.79,67.0,67.47,241167.0
2024-04-23,67.78,67.95,67.23,67.26,461429.0
2024-04-24,67.58,67.72,67.31,67.5,359778.0
2024-04-25,67.4,67.9,67.4,67.52,578996.0
2024-04-26,67.72,68.05,67.47,67.58,272072.0
2024-04-29,67.93,68.01,67.5,67.69,207244.0
2024-04-30,67.9,68.54,67.6,68.46,200291.0
2024-05-02,68.8,69.0,68.26,68.67,464333.0
2024-05-03,68.8,69.45,68.5,69.14,279670.0
2024-05-06,69.8,69.81,69.05,69.23,691429.0
2024-05-07,68.0,68.2,66.6,67.07,363260.0
2024-05-08,67.07,67.07,66.51,66.67,311938.0
2024-05-09,67.0,67.0,66.5,66.78,985848.0
2024-05-10,67.2,67.2,66.1,66.7,603871.0
2024-05-13,66.7,66.99,66.25,66.4,254997.0
2024-05-14,66.6,66.9,65.95,66.34,1331023.0
2024-05-15,66.45,66.79,66.0,66.14,213244.0
2024-05-16,66.0,66.24,65.9,65.99,298964.0
2024-05-17,66.0,66.34,65.9,65.99,271050.0
2024-05-18,65.99,66.49,65.92,66.16,32027.0
2024-05-21,66.4,66.42,65.97,66.0,354478.0
2024-05-22,66.34,66.34,65.49,65.81,317717.0
2024-05-23,65.81,66.0,65.51,65.69,428577.0
2024-05-24,65.69,65.95,65.5,65.83,120104.0
2024-05-27,65.8,66.08,65.61,65.83,251001.0
2024-05-28,66.0,66.24,65.7,65.78,271836.0
2024-05-29,65.7,65.99,65.65,65.76,142264.0
2024-05-30,65.89,65.9,65.2,65.64,210537.0
2024-05-31,65.88,65.9,65.3,65.46,170363.0
2024-06-03,65.9,65.9,65.3,65.42,589073.0
2024-06-04,65.79,65.8,63.5,64.57,566749.0
2024-06-05,64.0,65.51,63.55,64.93,743062.0
2024-06-06,64.8,65.25,64.1,64.9,357087.0
2024-06-07,65.3,65.5,64.6,64.9,467475.0
2024-06-10,65.49,65.89,64.9,65.24,447829.0
2024-06-11,65.24,65.79,64.5,65.28,582977.0
2024-06-12,65.58,65.58,65.1,65.24,310787.0
2024-06-13,65.2,65.55,64.99,65.07,354047.0
2024-06-14,65.39,65.5,65.12,65.36,270341.0
2024-06-18,65.44,65.44,65.2,65.39,224496.0
2024-06-19,65.26,65.6,65.25,65.29,243588.0
2024-06-20,65.2,65.5,65.03,65.14,252343.0
2024-06-21,65.14,65.5,65.0,65.17,388735.0
2024-06-24,65.46,65.46,64.42,65.08,288128.0
2024-06-25,65.38,66.3,65.05,65.52,332012.0
2024-06-26,65.5,65.7,65.1,65.22,308878.0
2024-06-27,65.5,67.15,65.2,65.27,305399.0
2024-06-28,65.27,67.0,65.1,65.42,248731.0
2024-07-01,65.42,65.93,65.26,65.78,260035.0
2024-07-02,65.76,66.2,65.75,66.0,333722.0
2024-07-03,66.5,66.9,65.45,66.69,308686.0
2024-07-04,66.6,67.02,66.23,66.84,288135.0
2024-07-05,66.53,67.25,66.53,67.0,279854.0
2024-07-08,67.25,67.25,66.5,66.88,214058.0
2024-07-09,66.88,67.39,66.78,66.98,135251.0
2024-07-10,66.81,67.54,66.8,66.91,208139.0
2024-07-11,67.78,67.8,67.1,67.23,567280.0
2024-07-12,67.77,67.81,66.75,66.89,190893.0
2024-07-15,67.47,67.7,66.7,66.86,306192.0
2024-07-16,67.2,67.24,66.12,66.37,333293.0
2024-07-18,66.97,67.0,66.02,66.71,1926498.0
2024-07-19,67.25,67.3,66.5,66.75,229162.0
2024-07-22,66.76,67.27,66.32,66.59,1927523.0
2024-07-23,66.59,67.0,66.01,66.38,292214.0
2024-07-24,66.5,66.9,66.3,66.83,106281.0
2024-07-25,66.55,67.2,66.55,66.89,207984.0
2024-07-26,67.09,67.18,66.75,66.9,259377.0
2024-07-29,66.9,67.38,66.75,66.84,499977.0
2024-07-30,67.36,67.36,66.41,66.54,928497.0
2024-07-31,65.98,65.98,64.51,64.92,419320.0
2024-08-01,65.3,65.3,64.53,64.83,383755.0
2024-08-02,64.97,64.97,64.55,64.67,196025.0
2024-08-05,64.6,65.05,64.0,64.17,352799.0
2024-08-06,64.98,64.99,64.01,64.33,129170.0
2024-08-07,64.3,64.85,63.94,64.36,199422.0
2024-08-08,64.15,64.79,64.15,64.37,127326.0
2024-08-09,64.21,64.69,64.21,64.27,225943.0
2024-08-12,64.69,64.88,63.92,64.08,397768.0
2024-08-13,64.01,64.49,63.85,63.92,299428.0
2024-08-14,63.9,64.39,63.81,63.89,257949.0
2024-08-16,64.28,64.28,63.59,63.6,258883.0
2024-08-19,64.15,64.2,62.9,63.35,429610.0
2024-08-20,63.34,63.75,63.05,63.48,220816.0
2024-08-21,63.6,63.6,63.3,63.47,174901.0
2024-08-22,63.5,63.59,62.82,62.99,751505.0
2024-08-23,63.01,63.45,62.85,63.1,309056.0
2024-08-26,63.39,63.4,62.09,62.62,511012.0
2024-08-27,62.62,63.1,62.25,62.99,293682.0
2024-08-28,63.23,63.5,63.1,63.43,141488.0
2024-08-29,63.43,63.72,63.1,63.49,117935.0
2024-08-30,63.75,63.8,62.75,63.24,386373.0
2024-09-02,63.75,63.78,63.16,63.3,415365.0
2024-09-03,63.3,65.0,62.91,63.38,393992.0
2024-09-04,63.69,63.69,63.25,63.37,214162.0
2024-09-05,63.64,63.64,63.0,63.19,302170.0
2024-09-06,63.59,63.59,62.51,62.89,197695.0
2024-09-09,62.89,63.0,62.5,62.75,192343.0
2024-09-10,63.0,63.25,62.48,62.83,294600.0
2024-09-11,63.2,63.2,62.4,62.61,492920.0
2024-09-12,63.19,63.19,62.55,62.68,333717.0
2024-09-13,62.98,62.98,62.11,62.27,647507.0
2024-09-16,62.55,62.55,62.01,62.45,249860.0
2024-09-17,62.45,63.05,62.21,62.92,263623.0
2024-09-18,63.14,63.14,62.15,63.02,330153.0
2024-09-19,63.19,63.19,62.26,62.89,156987.0
2024-09-20,63.19,63.25,62.8,62.92,479708.0
2024-09-23,63.19,63.2,62.27,62.74,222546.0
2024-09-24,62.74,62.89,61.45,61.78,928002.0
2024-09-25,62.49,62.49,61.2,61.38,340832.0
2024-09-26,61.38,61.4,61.0,61.31,328222.0
2024-09-27,61.69,62.19,61.25,61.39,164606.0
2024-09-30,61.91,62.9,61.39,62.33,357923.0
2024-10-01,62.4,62.79,62.05,62.39,90162.0
2024-10-03,62.4,62.4,61.55,61.62,292526.0
2024-10-04,61.41,61.95,61.01,61.49,180680.0
2024-10-07,61.6,62.04,61.26,61.44,171110.0
2024-10-08,61.86,62.0,61.2,61.78,104184.0
2024-10-09,61.88,62.49,61.59,61.85,133139.0
2024-10-10,61.85,62.41,61.26,62.1,542757.0
2024-10-11,62.38,62.38,61.9,62.01,143698.0
2024-10-14,62.3,62.35,60.25,61.7,250783.0
2024-10-15,61.7,62.2,61.26,61.38,219202.0
2024-10-16,61.75,61.75,60.51,61.04,317085.0
2024-10-17,61.06,62.16,60.9,61.03,257370.0
2024-10-18,61.15,61.35,60.7,60.97,168181.0
2024-10-21,60.97,61.1,60.82,60.88,180726.0
2024-10-22,60.88,62.24,60.8,61.96,663163.0
2024-10-23,62.15,62.49,61.0,61.81,350117.0
2024-10-24,62.25,62.9,61.55,62.77,287511.0
2024-10-25,62.77,62.85,61.75,62.18,363869.0
2024-10-28,62.18,62.5,61.75,61.98,343677.0
2024-10-29,61.83,62.5,61.5,62.35,272826.0
2024-10-30,62.74,62.89,62.02,62.67,246602.0
2024-10-31,60.67,60.99,60.6,60.97,293195.0
2024-11-04,60.62,61.0,60.01,60.14,361411.0
2024-11-05,60.8,60.8,59.31,59.75,485416.0
2024-11-06,59.95,60.21,59.75,59.84,190171.0
2024-11-07,60.0,60.25,59.7,59.87,369009.0
2024-11-08,60.19,60.19,59.8,59.88,146237.0
2024-11-11,60.18,60.18,59.61,59.84,162870.0
2024-11-12,59.84,59.99,59.42,59.5,453613.0
2024-11-13,59.83,59.83,58.8,58.83,248059.0
2024-11-14,59.45,59.45,57.8,57.99,525864.0
2024-11-18,58.15,58.44,57.01,58.07,442223.0
2024-11-19,58.14,58.89,57.21,58.09,225088.0
2024-11-21,58.09,58.41,57.95,58.03,152569.0
2024-11-22,57.72,58.45,57.72,58.09,486106.0
2024-11-25,58.49,58.49,55.3,57.47,998297.0
2024-11-26,57.88,57.92,56.54,56.82,335921.0
2024-11-27,56.82,56.82,56.4,56.6,261238.0
2024-11-28,57.1,57.57,56.65,57.13,200993.0
2024-11-29,57.01,58.0,57.01,57.94,206534.0
2024-12-02,58.0,59.11,58.0,58.86,297727.0
2024-12-03,59.27,59.99,59.0,59.85,156639.0
2024-12-04,59.2,60.98,59.2,60.88,434093.0
2024-12-05,60.99,61.6,59.2,61.0,428271.0
2024-12-06,60.98,61.05,60.4,60.99,195395.0
2024-12-09,60.99,61.71,60.56,61.34,418071.0
2024-12-10,61.5,61.5,60.52,60.86,232004.0
2024-12-11,60.86,61.34,60.61,60.99,617731.0
2024-12-12,61.0,61.25,60.81,60.99,354493.0
2024-12-13,61.0,61.0,60.7,60.92,160491.0
2024-12-16,60.92,61.19,60.92,61.0,215561.0
2024-12-17,61.0,61.05,60.73,60.84,237385.0
2024-12-18,61.0,61.0,58.7,60.6,107319.0
2024-12-19,60.51,60.51,59.51,60.28,139495.0
2024-12-20,60.1,61.7,59.5,61.14,816429.0
2024-12-23,61.2,61.45,59.01,60.97,776519.0
2024-12-24,60.21,61.74,59.53,59.55,524805.0
2024-12-26,60.18,60.22,59.1,59.1,410120.0
2024-12-27,59.61,59.61,59.15,59.46,111525.0
2024-12-30,60.2,60.24,58.66,59.52,232037.0
2024-12-31,60.1,60.4,59.07,59.99,83676.0
2025-01-01,60.0,60.35,59.6,60.25,53222.0
2025-01-02,60.5,60.8,60.17,60.68,117420.0
2025-01-03,60.97,60.97,59.9,60.03,84507.0
2025-01-06,60.9,60.9,59.75,59.96,530773.0
2025-01-07,60.74,60.74,59.77,60.03,98779.0
2025-01-08,60.43,60.43,59.9,60.06,84664.0
2025-01-09,60.5,60.5,59.76,60.12,114994.0
2025-01-10,60.09,60.12,59.11,59.89,196159.0
2025-01-13,59.9,60.3,59.11,59.35,223318.0
2025-01-14,59.9,60.0,59.25,59.75,174592.0
2025-01-15,60.24,60.24,59.02,59.19,190252.0
2025-01-16,59.35,60.05,59.31,59.91,76361.0
2025-01-17,59.91,60.3,59.8,60.1,132894.0
2025-01-20,60.79,60.79,59.69,59.86,180037.0
2025-01-21,59.81,60.59,59.81,60.14,251590.0
2025-01-22,60.25,60.25,59.84,59.98,135737.0
2025-01-23,60.1,60.2,59.9,60.0,179294.0
2025-01-24,60.1,60.1,59.5,59.83,117403.0
2025-01-27,60.15,60.15,58.76,59.8,229333.0
2025-01-28,59.9,59.9,59.5,59.71,315982.0
2025-01-29,59.9,59.9,59.6,59.86,333669.0
2025-01-30,57.99,58.76,57.31,57.77,360767.0
2025-01-31,57.77,58.39,57.45,57.53,148069.0
2025-02-01,58.0,58.15,57.56,57.66,108287.0
2025-02-03,58.0,58.0,56.75,56.99,229332.0
2025-02-04,56.99,57.61,55.9,56.29,363427.0
2025-02-05,56.29,57.0,55.5,56.22,245461.0
2025-02-06,56.63,56.99,56.2,56.61,241560.0
2025-02-07,56.94,57.39,56.49,56.87,261005.0
2025-02-10,57.24,57.24,56.45,56.53,361985.0
2025-02-11,56.8,56.9,56.0,56.05,363316.0
2025-02-12,56.0,56.7,55.68,56.11,271214.0
2025-02-13,56.5,56.5,55.65,56.06,258516.0
2025-02-14,56.75,56.75,55.4,55.59,468634.0
2025-02-17,55.94,55.94,54.24,54.61,530384.0
2025-02-18,55.0,55.75,54.93,55.02,147930.0
2025-02-19,55.44,55.49,55.03,55.41,82569.0
2025-02-20,55.45,55.79,55.02,55.26,147620.0
2025-02-21,55.5,57.14,55.1,55.5,243248.0
2025-02-24,55.69,55.95,55.4,55.81,196308.0
2025-02-25,55.95,56.5,55.4,55.69,304514.0
2025-02-27,56.06,56.06,55.0,55.02,325898.0
2025-02-28,55.47,55.47,54.25,54.48,304558.0
2025-03-03,54.3,55.39,53.8,53.95,614038.0
2025-03-04,54.4,54.4,53.8,54.08,367717.0
2025-03-05,54.38,54.5,53.66,53.75,364269.0
2025-03-06,54.37,54.4,53.91,54.07,514577.0
2025-03-07,54.0,54.8,54.0,54.6,469306.0
2025-03-10,55.0,55.0,54.1,54.27,376455.0
2025-03-11,54.3,54.69,54.11,54.24,618202.0
2025-03-12,54.15,54.3,54.05,54.2,345030.0
2025-03-13,54.3,54.3,53.96,54.03,454060.0
2025-03-17,54.28,54.3,53.7,53.96,435109.0
2025-03-18,54.0,54.0,53.22,53.67,517820.0
2025-03-19,53.9,53.9,53.31,53.63,856145.0
2025-03-20,53.96,53.96,53.0,53.12,788019.0
2025-03-21,53.25,53.48,52.01,53.19,716353.0
2025-03-24,53.6,53.6,52.96,53.14,557667.0
2025-03-25,53.14,53.46,52.32,52.61,666781.0
2025-03-26,52.31,53.0,51.83,51.97,799937.0
2025-03-27,51.92,52.2,51.25,51.42,771536.0
2025-03-28,51.42,51.75,49.91,50.0,1457708.0
2025-04-01,50.4,52.39,50.0,51.88,497978.0
2025-04-02,51.68,52.84,51.4,52.72,443677.0
2025-04-03,52.7,54.99,52.57,52.99,879393.0
2025-04-04,53.49,53.99,52.96,53.49,468418.0
2025-04-07,53.4,53.49,51.0,52.25,485300.0
2025-04-08,52.6,53.09,52.31,52.99,179695.0
2025-04-09,52.95,53.29,52.6,53.08,187779.0
2025-04-11,53.5,53.94,51.57,53.71,704968.0
