date,open,high,low,close,volume
2025-06-03,55.77,55.98,55.4,55.86,650901.0
2025-06-04,56.09,57.0,55.9,56.98,612243.0
2025-06-05,57.45,60.0,57.18,58.69,737601.0
2025-06-06,58.65,60.3,58.6,60.01,830881.0
2025-06-09,60.49,63.74,60.01,63.11,1064984.0
2025-06-10,63.7,65.25,62.15,63.93,1436622.0
2025-06-11,62.61,63.6,62.5,62.85,357517.0
2025-06-12,63.45,63.82,59.16,60.37,913507.0
2025-06-13,60.37,60.9,59.85,59.92,374229.0
2025-06-16,59.99,60.79,59.0,59.92,375475.0
2025-06-17,60.45,60.45,59.75,60.0,313093.0
2025-06-18,60.0,62.0,59.76,61.45,652796.0
2025-06-19,61.75,62.0,61.05,61.4,294182.0
2025-06-20,61.87,62.0,60.5,61.93,269232.0
2025-06-23,62.44,62.5,61.21,62.0,197848.0
2025-06-24,62.79,62.79,61.16,61.92,196242.0
2025-06-25,62.3,62.49,60.66,62.43,168735.0
2025-06-26,62.8,62.8,61.21,61.8,279316.0
2025-06-27,62.59,62.6,61.25,61.41,241259.0
2025-06-30,61.9,62.2,61.4,61.54,318157.0
2025-07-01,62.05,62.75,60.82,61.04,362833.0
2025-07-02,61.78,61.78,61.01,61.4,2439272.0
2025-07-03,61.9,61.9,60.8,60.9,933013.0
2025-07-04,61.4,61.4,60.53,60.76,691944.0
2025-07-07,61.74,62.0,61.11,61.14,413908.0
2025-07-08,61.39,61.8,61.14,61.42,765300.0
2025-07-09,61.59,61.8,61.4,61.64,132102.0
2025-07-10,61.75,61.9,61.15,61.24,369640.0
2025-07-11,61.15,61.88,61.1,61.61,902579.0
2025-07-14,61.9,61.9,61.1,61.41,977558.0
2025-07-15,61.64,61.64,61.16,61.34,1482116.0
2025-07-16,61.34,61.99,61.25,61.42,168777.0
2025-07-17,61.43,61.88,61.3,61.37,382252.0
2025-07-18,61.5,61.65,60.15,61.21,3494230.0
2025-07-21,61.7,61.7,60.8,61.46,3329079.0
2025-07-22,61.22,62.29,61.0,61.26,3382324.0
2025-07-23,61.77,62.28,61.7,62.09,303741.0
2025-07-24,60.01,61.5,60.01,60.52,391900.0
2025-07-25,60.2,61.39,60.2,60.37,167883.0
2025-07-28,60.75,61.24,60.11,61.15,719712.0
2025-07-29,61.24,61.6,60.01,61.49,3786192.0
2025-07-30,61.4,61.6,60.5,60.91,453422.0
2025-07-31,61.22,61.49,60.61,60.85,313745.0
2025-08-01,61.08,61.3,60.7,60.95,303834.0
2025-08-04,61.4,61.4,60.71,61.17,707977.0
2025-08-05,61.21,61.5,60.99,61.18,262507.0
2025-08-06,61.35,62.3,61.11,61.49,370807.0
2025-08-07,61.7,61.99,61.2,61.51,157841.0
2025-08-08,61.79,61.88,61.4,61.65,170586.0
2025-08-11,61.28,63.0,61.28,62.95,316797.0
2025-08-12,63.42,63.99,62.31,63.88,336042.0
2025-08-13,63.99,64.25,63.25,63.63,162228.0
2025-08-14,63.95,64.2,63.0,63.16,412835.0
2025-08-18,63.88,63.99,62.9,63.16,459475.0
2025-08-19,63.49,63.7,62.11,62.95,712023.0
2025-08-20,62.95,63.6,62.5,63.34,247827.0
2025-08-21,63.59,63.59,62.83,63.22,223563.0
2025-08-22,63.65,63.65,62.9,63.14,163876.0
2025-08-25,63.0,63.38,62.92,62.99,364904.0
2025-08-26,63.35,63.59,62.85,63.27,167960.0
2025-08-28,63.3,63.8,63.03,63.32,373983.0
2025-08-29,63.48,63.48,62.8,62.98,627680.0
2025-09-01,63.35,63.35,62.82,62.99,358024.0
2025-09-02,62.99,63.2,62.51,62.93,493423.0
2025-09-03,63.37,63.5,62.9,63.0,250559.0
2025-09-04,63.28,63.38,62.5,62.99,573116.0
2025-09-05,63.22,63.22,62.72,62.97,199944.0
2025-09-08,63.05,63.05,62.6,62.88,172176.0
2025-09-09,63.2,63.4,62.2,63.32,483086.0
2025-09-10,63.49,63.6,63.1,63.46,359638.0
2025-09-11,63.22,63.6,62.7,62.8,656052.0
2025-09-12,63.19,63.3,62.75,62.99,315633.0
2025-09-15,63.38,63.5,63.0,63.28,289769.0
2025-09-16,63.57,63.8,62.95,63.58,881498.0
2025-09-17,63.77,63.99,62.8,62.99,571546.0
2025-09-18,63.39,63.5,62.8,62.98,242255.0
2025-09-19,63.25,63.5,62.89,62.99,507077.0
2025-09-22,63.39,63.39,62.45,62.98,448953.0
2025-09-23,63.3,63.36,62.9,62.98,217212.0
2025-09-24,62.98,63.0,62.8,62.99,179163.0
2025-09-25,63.1,63.1,62.6,62.64,300900.0
2025-09-26,62.97,63.0,62.7,62.73,307349.0
2025-09-29,63.25,63.25,62.7,62.74,374592.0
2025-09-30,62.99,63.0,62.7,62.84,225018.0
2025-10-01,62.9,62.9,62.67,62.73,248364.0
