date,open,high,low,close,volume
2024-01-01,323.95,324.0,315.2,322.15,105027.0
2024-01-02,322.5,324.8,320.15,322.85,99372.0
2024-01-03,322.85,327.0,321.26,326.17,86770.0
2024-01-04,325.0,329.45,323.0,325.19,101703.0
2024-01-05,325.6,329.95,324.51,326.32,101347.0
2024-01-08,330.0,332.0,324.3,324.69,74491.0
2024-01-09,326.4,327.25,322.7,325.78,136189.0
2024-01-10,327.99,329.75,323.03,328.12,209094.0
2024-01-11,329.0,332.95,327.21,330.41,121569.0
2024-01-12,329.1,332.05,326.6,330.76,104839.0
2024-01-15,332.0,333.15,327.03,328.22,127515.0
2024-01-16,329.0,332.48,326.2,331.04,239922.0
2024-01-17,331.92,333.79,329.29,330.92,449152.0
2024-01-18,330.0,331.0,326.26,330.71,191773.0
2024-01-19,331.0,331.5,327.51,328.44,100271.0
2024-01-20,329.8,329.8,327.91,328.66,6961.0
2024-01-23,327.68,331.84,325.06,328.09,568509.0
2024-01-24,327.09,330.22,325.02,329.02,158307.0
2024-01-25,329.85,329.85,325.0,327.48,195052.0
2024-01-29,329.2,335.1,323.0,325.12,159675.0
2024-01-30,325.12,329.7,316.51,319.17,275855.0
2024-01-31,320.7,323.32,318.85,321.56,275455.0
2024-02-01,321.0,325.87,320.12,323.28,225222.0
2024-02-02,324.0,326.24,322.11,325.14,313236.0
2024-02-05,325.14,330.6,325.14,329.76,113045.0
2024-02-06,326.4,336.15,326.1,334.52,133046.0
2024-02-07,335.7,337.86,332.86,333.74,98644.0
2024-02-08,336.95,336.95,329.26,332.01,76563.0
2024-02-09,334.0,334.68,328.05,330.48,26333.0
2024-02-12,330.48,334.0,326.9,330.13,40666.0
2024-02-13,332.8,335.99,325.0,334.77,83855.0
2024-02-14,334.98,337.96,329.03,335.45,72259.0
2024-02-15,332.7,339.3,331.25,334.54,34427.0
2024-02-16,335.0,343.4,331.51,339.95,72482.0
2024-02-19,340.5,343.94,337.78,340.01,92663.0
2024-02-20,342.5,342.5,338.0,340.08,285472.0
2024-02-21,343.0,344.01,339.99,342.35,96536.0
