date,open,high,low,close,volume
2025-06-03,395.32,395.61,394.5,394.74,1209.0
2025-06-04,396.0,401.9,394.52,400.18,3147.0
2025-06-05,400.0,404.99,395.1,396.14,7830.0
2025-06-06,397.0,403.5,397.0,403.31,42088.0
2025-06-09,405.9,415.7,403.51,414.18,6054.0
2025-06-10,417.0,417.56,412.0,416.5,11996.0
2025-06-11,417.98,418.0,416.1,417.77,1777.0
2025-06-12,418.84,424.8,418.11,421.56,6042.0
2025-06-13,422.0,425.95,419.67,421.2,6359.0
2025-06-16,422.1,424.7,417.0,418.44,6080.0
2025-06-17,418.24,422.93,412.0,413.41,2846.0
2025-06-18,418.0,418.0,414.0,414.71,4665.0
2025-06-19,415.0,419.0,408.33,414.69,2481.0
2025-06-20,418.0,418.0,400.26,401.88,3388.0
2025-06-23,398.0,413.77,398.0,410.23,5356.0
2025-06-24,410.9,412.6,400.9,401.99,4737.0
2025-06-25,400.6,408.77,400.6,403.97,3215.0
2025-06-26,402.0,407.89,394.55,399.74,13779.0
2025-06-27,400.0,408.26,395.5,406.33,2960.0
2025-06-30,408.2,409.05,400.0,400.35,3726.0
2025-07-01,399.0,403.34,394.37,395.81,21505.0
2025-07-02,394.01,401.0,394.01,400.49,5363.0
2025-07-03,400.5,404.0,400.5,403.26,14328.0
2025-07-04,403.5,407.99,400.6,406.82,8646.0
2025-07-07,408.0,412.0,402.55,410.22,4597.0
2025-07-08,412.5,415.0,409.75,413.8,3563.0
2025-07-09,418.0,418.0,410.2,416.69,3767.0
2025-07-10,416.69,418.74,415.44,416.82,4785.0
2025-07-11,417.0,421.75,415.35,420.84,3949.0
2025-07-14,421.4,424.0,418.0,418.7,5531.0
2025-07-15,420.81,420.81,415.2,417.37,5029.0
2025-07-16,414.5,419.99,414.5,418.62,5608.0
2025-07-17,417.3,423.9,414.9,418.84,7752.0
2025-07-18,421.8,422.5,416.02,419.94,3213.0
2025-07-21,420.8,422.88,418.06,418.75,4780.0
2025-07-22,419.94,426.95,419.11,424.35,10082.0
2025-07-23,426.5,429.95,418.84,420.14,11305.0
2025-07-24,418.65,426.0,417.55,419.93,11160.0
2025-07-25,422.5,422.85,418.3,418.81,9281.0
2025-07-28,422.0,424.49,419.0,422.59,7387.0
2025-07-29,423.9,423.9,415.0,415.61,9665.0
2025-07-30,416.9,417.0,410.0,414.58,3759.0
2025-07-31,410.11,415.8,410.11,414.73,5215.0
2025-08-01,411.15,418.4,409.28,413.24,10489.0
2025-08-04,415.0,421.0,413.5,420.43,4601.0
2025-08-05,420.55,422.75,416.3,418.58,8383.0
2025-08-06,419.9,430.0,414.01,426.89,21451.0
2025-08-07,423.1,423.19,417.0,418.99,6962.0
2025-08-08,421.7,421.7,417.17,418.99,1860.0
2025-08-11,420.95,422.47,416.25,419.87,8036.0
2025-08-12,420.0,420.51,414.97,417.01,5867.0
2025-08-13,417.01,420.95,415.46,419.52,4642.0
2025-08-14,420.0,423.0,416.01,422.24,5125.0
2025-08-18,425.0,428.28,417.11,422.84,13412.0
2025-08-19,425.0,425.0,415.66,419.22,4686.0
2025-08-20,420.0,425.99,417.0,424.83,2302.0
2025-08-21,426.99,426.99,419.84,422.21,5621.0
2025-08-22,422.4,423.8,417.35,423.45,6140.0
2025-08-25,425.49,425.49,419.19,420.86,12229.0
2025-08-26,420.18,423.58,418.18,420.0,4121.0
2025-08-28,420.9,424.5,420.9,421.77,4209.0
2025-08-29,423.5,426.0,422.41,423.48,1503.0
2025-09-01,426.0,434.0,424.0,431.08,11146.0
2025-09-02,433.75,434.88,426.25,426.73,3569.0
2025-09-03,429.0,429.65,424.0,425.17,2806.0
2025-09-04,427.8,427.8,420.7,421.35,10396.0
2025-09-05,424.78,424.78,420.5,421.28,3559.0
2025-09-08,423.2,423.3,419.0,419.78,3039.0
2025-09-09,419.78,427.0,419.78,421.65,24700.0
2025-09-10,421.65,422.62,419.0,420.61,5211.0
2025-09-11,421.99,424.7,417.1,420.05,10215.0
2025-09-12,420.05,424.5,420.05,423.05,3589.0
2025-09-15,424.25,440.39,423.5,438.18,89911.0
2025-09-16,441.0,454.85,435.11,444.55,14594.0
2025-09-17,446.49,450.0,444.98,448.87,10367.0
2025-09-18,448.66,450.99,447.4,448.58,5307.0
2025-09-19,451.0,454.95,431.01,437.73,14282.0
2025-09-22,435.0,442.75,435.0,438.53,12930.0
2025-09-23,437.0,443.84,437.0,441.82,4099.0
2025-09-24,441.82,448.8,441.82,445.5,8056.0
2025-09-25,444.0,454.19,444.0,450.18,10872.0
2025-09-26,453.79,460.01,448.0,455.16,16296.0
2025-09-29,455.16,462.0,451.31,459.36,5717.0
2025-09-30,466.0,469.0,452.01,454.46,18759.0
2025-10-01,462.27,464.85,454.0,455.33,6861.0
2025-10-03,456.3,464.75,454.99,456.97,19255.0
2025-10-06,461.3,461.3,451.0,451.86,9994.0
2025-10-07,452.5,456.38,451.86,452.56,5794.0
2025-10-08,456.8,457.1,448.87,451.35,5235.0
2025-10-09,451.35,455.93,445.55,454.37,9317.0
2025-10-10,456.2,459.99,453.0,458.38,4160.0
2025-10-13,458.0,460.9,453.0,457.21,9790.0
2025-10-14,461.25,462.5,457.01,462.01,2732.0
2025-10-15,464.0,475.5,462.1,464.89,5225.0
2025-10-16,466.4,472.8,466.0,470.39,10842.0
2025-10-17,469.9,473.0,463.0,465.45,7021.0
2025-10-20,465.45,471.9,463.36,465.0,6529.0
2025-10-21,468.0,470.5,467.29,467.91,5847.0
2025-10-23,469.8,469.8,460.5,463.89,14165.0
2025-10-24,463.1,464.75,457.02,463.3,7706.0
2025-10-27,465.25,467.25,461.39,463.86,5150.0
2025-10-28,463.8,465.25,459.13,461.8,5721.0
2025-10-29,465.3,465.3,457.5,459.46,2927.0
2025-10-30,459.0,464.65,458.32,458.99,5725.0
2025-10-31,459.9,465.36,459.86,464.89,6472.0
2025-11-03,466.89,468.5,464.0,466.64,134292.0
2025-11-04,466.64,470.98,465.5,469.07,398022.0
2025-11-06,470.99,472.5,460.5,461.38,14528.0
2025-11-07,457.7,466.0,450.66,465.51,7170.0
2025-11-10,465.51,466.25,461.99,462.51,9013.0
2025-11-11,464.0,465.5,457.0,459.79,4440.0
2025-11-12,461.34,462.75,458.0,460.56,3165.0
2025-11-13,463.4,463.85,458.49,458.98,5618.0
2025-11-14,460.0,462.87,458.28,459.42,4510.0
2025-11-17,463.4,473.32,462.2,466.8,19666.0
2025-11-18,465.86,469.67,453.0,469.48,130804.0
2025-11-19,474.0,474.7,460.98,462.04,34264.0
2025-11-21,464.33,471.5,463.0,467.86,10790.0
2025-11-24,468.0,472.76,456.03,459.82,20546.0
2025-11-25,463.0,464.76,459.39,463.09,207597.0
2025-11-26,463.9,464.46,455.0,458.24,10168.0
