date,open,high,low,close,volume
2024-04-01,343.6,347.1,342.06,344.21,1495.0
2024-04-02,345.0,347.78,342.83,344.49,1988.0
2024-04-03,346.0,348.45,342.5,344.19,17990.0
2024-04-04,346.8,353.7,342.0,344.53,4396.0
2024-04-05,346.0,349.9,343.5,344.5,6684.0
2024-04-08,343.41,347.8,343.41,346.23,3583.0
2024-04-09,348.7,350.0,345.0,346.83,6574.0
2024-04-10,353.77,364.25,345.98,357.92,9159.0
2024-04-12,353.4,353.99,343.0,345.2,10947.0
2024-04-15,344.68,349.0,343.0,347.96,4408.0
2024-04-16,349.8,349.8,343.2,344.55,1853.0
2024-04-18,347.0,347.0,339.23,343.04,5065.0
2024-04-19,338.86,346.1,338.0,342.09,3867.0
2024-04-22,342.1,346.1,342.1,344.61,2313.0
2024-04-23,345.0,346.5,342.94,345.89,4123.0
2024-04-24,345.3,349.0,345.0,347.0,1914.0
2024-04-25,347.0,351.85,345.99,351.28,5727.0
2024-04-26,357.0,357.0,351.15,353.27,1201.0
2024-04-29,353.28,354.05,350.73,353.31,3782.0
2024-04-30,355.7,355.7,353.24,355.14,799.0
2024-05-02,369.0,369.0,350.0,353.74,5150.0
2024-05-03,358.0,358.0,349.52,354.51,7340.0
2024-05-06,356.4,358.1,344.2,346.82,7574.0
2024-05-07,347.88,356.7,347.16,353.43,3115.0
2024-05-08,355.5,355.5,351.31,354.32,1632.0
2024-05-09,353.38,353.38,348.1,349.46,4008.0
2024-05-10,352.85,354.84,347.05,353.05,2981.0
2024-05-13,354.85,354.85,339.67,346.92,7023.0
2024-05-14,348.75,349.0,344.24,347.14,1381.0
2024-05-15,343.5,351.25,343.5,350.0,4111.0
2024-05-16,352.75,352.75,347.11,349.03,1507.0
2024-05-17,349.9,353.71,337.56,352.78,10138.0
2024-05-18,352.68,352.68,351.01,351.28,607.0
2024-05-21,351.31,352.05,348.1,349.42,5134.0
2024-05-22,351.0,351.0,343.2,343.66,1399.0
2024-05-23,345.04,348.25,345.04,346.9,2362.0
2024-05-24,349.0,352.3,346.0,350.24,1510.0
2024-05-27,345.3,353.26,345.3,347.81,1665.0
2024-05-28,348.35,348.35,335.44,339.46,12606.0
2024-05-29,340.26,348.4,340.26,346.86,16163.0
2024-05-30,353.99,353.99,346.86,347.53,4811.0
2024-05-31,343.9,350.7,341.18,343.31,8182.0
2024-06-03,340.35,348.21,340.35,346.73,12234.0
2024-06-04,341.35,349.0,336.0,347.44,18604.0
2024-06-05,351.8,351.8,336.52,342.12,6375.0
2024-06-06,345.0,345.25,342.81,343.72,1154.0
2024-06-07,348.45,348.45,340.0,341.94,6445.0
2024-06-10,342.0,342.75,334.49,335.09,28720.0
2024-06-11,338.0,340.5,335.74,339.26,4466.0
2024-06-12,340.0,342.1,336.6,341.05,15264.0
2024-06-13,343.0,343.0,337.15,340.91,5591.0
2024-06-14,340.91,340.91,336.1,338.35,5605.0
2024-06-18,337.4,341.55,337.4,339.96,2326.0
2024-06-19,339.96,342.99,336.0,337.29,5629.0
2024-06-20,339.7,339.9,336.1,339.0,3194.0
2024-06-21,336.81,342.9,336.1,340.9,10378.0
2024-06-24,340.9,340.9,334.9,335.75,7522.0
2024-06-25,333.45,336.49,331.0,334.03,12153.0
2024-06-26,336.7,336.98,332.04,336.09,25284.0
2024-06-27,336.97,336.97,332.2,335.4,6712.0
2024-06-28,335.9,335.9,332.7,334.09,3193.0
2024-07-01,333.56,335.0,332.1,333.41,8584.0
2024-07-02,334.4,336.2,332.73,336.0,7540.0
2024-07-03,337.8,339.8,331.55,334.19,40540.0
2024-07-04,334.4,336.18,332.48,335.76,14145.0
2024-07-05,335.69,336.24,333.01,335.04,3806.0
2024-07-08,334.0,336.44,334.0,335.66,4376.0
2024-07-09,334.11,338.0,332.56,334.18,3263.0
2024-07-10,335.8,336.61,334.01,335.56,43115.0
2024-07-11,335.01,338.5,334.16,338.12,4156.0
2024-07-12,339.39,339.39,337.0,337.59,3163.0
2024-07-15,338.7,339.41,337.12,338.96,4291.0
2024-07-16,338.96,340.49,337.2,340.09,8103.0
2024-07-18,338.2,342.84,338.2,340.37,4423.0
2024-07-19,341.0,341.0,338.85,340.04,983.0
2024-07-22,340.2,340.22,338.0,339.77,15064.0
2024-07-23,341.9,346.0,336.5,345.96,60726.0
2024-07-24,346.0,346.0,339.31,340.98,4801.0
2024-07-25,340.98,341.71,336.1,341.25,3109.0
2024-07-26,341.08,344.39,339.25,342.04,2964.0
2024-07-29,344.0,345.74,339.0,344.79,12062.0
2024-07-30,344.0,345.24,338.0,340.08,38529.0
2024-07-31,342.4,344.0,337.0,342.98,28681.0
2024-08-01,343.8,346.0,340.29,345.64,13811.0
2024-08-02,342.9,344.89,340.26,342.16,2036.0
2024-08-05,342.0,343.88,340.0,342.53,12463.0
2024-08-06,342.3,350.0,341.0,343.1,13086.0
2024-08-07,343.1,344.4,340.35,342.04,2567.0
2024-08-08,342.04,344.4,338.89,340.0,4492.0
2024-08-09,342.5,342.89,340.06,342.01,3030.0
2024-08-12,343.9,343.9,338.89,339.44,2661.0
2024-08-13,341.8,342.0,338.25,339.98,4717.0
2024-08-14,340.0,342.0,339.46,341.18,5792.0
2024-08-16,341.18,342.0,339.5,340.39,18714.0
2024-08-19,340.45,342.0,340.45,342.0,12327.0
2024-08-20,342.99,342.99,339.95,341.93,2306.0
2024-08-21,343.0,343.0,341.8,341.98,3423.0
2024-08-22,342.89,342.89,339.21,341.17,5571.0
2024-08-23,339.0,342.0,339.0,341.0,2117.0
2024-08-26,340.05,341.95,338.12,338.6,7356.0
2024-08-27,338.01,340.89,338.0,338.15,2501.0
2024-08-28,341.7,341.7,334.2,340.05,11271.0
2024-08-29,341.99,341.99,337.35,338.82,6387.0
2024-08-30,341.0,341.0,335.35,338.85,12942.0
2024-09-02,337.5,341.0,337.15,340.21,8501.0
2024-09-03,341.9,341.9,334.5,337.57,10707.0
