date,open,high,low,close,volume
2025-06-03,82.0,82.3,81.52,81.7,813738.0
2025-06-04,81.9,82.25,81.61,82.18,755214.0
2025-06-05,82.39,83.24,82.25,83.02,1199864.0
2025-06-06,83.29,85.2,83.12,84.38,1597299.0
2025-06-09,84.9,87.4,84.6,87.28,1799197.0
2025-06-10,87.5,87.99,86.85,86.99,1993223.0
2025-06-11,87.43,87.43,86.8,86.85,941902.0
2025-06-12,86.93,87.35,86.0,86.99,1774041.0
2025-06-13,86.16,87.04,86.16,86.88,1217910.0
2025-06-16,87.13,87.2,86.75,86.94,1782410.0
2025-06-17,87.25,87.25,86.8,86.93,1661842.0
2025-06-18,87.22,87.68,86.5,86.9,3185560.0
2025-06-19,86.9,87.25,86.86,86.96,1836153.0
2025-06-20,86.96,87.5,86.9,87.03,574097.0
2025-06-23,87.03,88.5,86.93,88.32,1119077.0
2025-06-24,89.29,93.0,88.48,90.37,1886850.0
2025-06-25,90.1,91.98,90.1,91.86,1023769.0
2025-06-26,91.86,92.8,91.11,91.28,1022219.0
2025-06-27,91.72,92.45,90.2,90.66,764169.0
2025-06-30,91.75,91.99,90.0,90.61,2207294.0
2025-07-01,91.2,91.5,90.05,90.89,662212.0
2025-07-02,91.35,91.35,90.25,90.42,836902.0
2025-07-03,90.6,91.18,89.51,89.94,924063.0
2025-07-04,90.3,90.79,89.79,90.69,767121.0
2025-07-07,90.99,91.7,90.35,90.49,817444.0
2025-07-08,90.52,90.95,90.21,90.52,570041.0
2025-07-09,90.8,91.35,90.56,90.88,1272422.0
2025-07-10,91.19,91.35,90.41,90.5,851444.0
2025-07-11,90.51,91.5,90.51,90.98,727334.0
2025-07-14,91.5,91.65,91.0,91.55,561693.0
2025-07-15,91.76,92.08,91.0,91.6,1349137.0
2025-07-16,91.99,92.8,91.76,92.45,541113.0
2025-07-17,92.03,93.49,92.03,93.0,1105194.0
2025-07-18,93.2,93.45,92.77,93.09,667811.0
2025-07-21,93.2,94.15,93.09,93.39,1011696.0
2025-07-22,93.4,93.85,93.25,93.58,549294.0
2025-07-23,93.78,94.5,93.31,93.49,819337.0
2025-07-24,93.6,93.98,93.41,93.88,788018.0
2025-07-25,93.9,93.99,93.11,93.33,754243.0
2025-07-28,93.68,93.7,92.62,92.84,957732.0
2025-07-29,92.65,93.5,90.75,91.4,1925477.0
2025-07-30,91.89,92.47,91.5,91.95,356180.0
2025-07-31,91.95,92.09,91.11,91.52,947084.0
2025-08-01,91.8,91.97,90.82,91.25,1018706.0
2025-08-04,91.3,93.49,91.25,93.19,983440.0
2025-08-05,93.69,93.69,92.01,93.37,612091.0
2025-08-06,93.69,94.45,93.5,94.32,866567.0
2025-08-07,94.01,94.29,93.6,94.1,734009.0
2025-08-08,91.9,91.98,91.18,91.37,838493.0
2025-08-11,91.7,92.15,90.01,91.52,900585.0
2025-08-12,91.5,91.94,91.05,91.49,1180082.0
2025-08-13,91.68,91.7,90.02,90.75,865530.0
2025-08-14,90.75,91.24,90.5,90.9,525062.0
2025-08-18,91.48,91.48,90.2,90.46,2330878.0
2025-08-19,90.65,91.75,90.5,90.99,678239.0
2025-08-20,91.38,91.4,91.0,91.15,848285.0
2025-08-21,91.4,91.4,90.99,91.24,730191.0
2025-08-22,91.4,91.5,91.0,91.27,738812.0
2025-08-25,91.39,91.98,91.0,91.37,877246.0
2025-08-26,91.7,91.9,91.14,91.2,820392.0
2025-08-28,91.64,91.79,90.8,91.12,682875.0
2025-08-29,91.57,91.58,90.51,90.84,2395854.0
2025-09-01,91.0,91.5,90.84,91.31,604693.0
2025-09-02,91.69,91.69,90.84,91.0,1274422.0
2025-09-03,91.38,91.59,90.91,90.99,908802.0
2025-09-04,91.37,91.45,90.99,91.34,517225.0
2025-09-05,91.3,91.75,91.0,91.69,376780.0
2025-09-08,91.69,91.69,91.69,91.69,0.0
2025-09-09,91.69,91.69,91.69,91.69,0.0
2025-09-10,91.69,91.69,91.69,91.69,0.0
2025-09-11,95.38,96.27,94.85,95.86,1184283.0
2025-09-12,95.9,96.9,95.9,96.48,835936.0
2025-09-15,96.5,97.05,96.45,96.95,753113.0
2025-09-16,97.01,97.4,96.0,96.3,1058231.0
2025-09-17,96.4,96.8,95.5,96.18,572867.0
2025-09-18,95.9,96.45,95.2,95.84,538116.0
2025-09-19,96.24,96.87,95.6,96.46,575328.0
2025-09-22,96.9,96.9,96.0,96.1,794577.0
2025-09-23,96.32,96.69,95.06,95.41,767216.0
2025-09-24,95.86,96.25,95.2,95.74,708978.0
2025-09-25,95.79,96.17,94.45,94.49,945099.0
2025-09-26,94.89,95.4,94.49,95.08,480881.0
2025-09-29,95.03,95.45,94.02,94.6,767440.0
2025-09-30,94.6,95.65,94.6,95.32,666908.0
2025-10-01,95.77,95.94,94.77,94.93,908364.0
2025-10-03,95.0,95.39,94.55,95.06,656823.0
2025-10-06,95.4,95.42,94.9,95.07,471102.0
2025-10-07,95.38,95.39,94.38,94.9,895141.0
2025-10-08,95.0,95.2,94.5,94.61,651445.0
2025-10-09,94.6,95.0,94.25,94.78,431232.0
2025-10-10,94.99,95.3,94.6,95.21,518430.0
2025-10-13,95.48,95.69,95.11,95.52,758103.0
2025-10-14,95.85,96.0,94.76,95.27,727556.0
2025-10-15,95.15,95.6,94.99,95.48,520314.0
2025-10-16,95.58,96.41,95.22,95.94,558845.0
2025-10-17,96.0,96.33,95.6,95.78,676099.0
2025-10-20,96.4,96.49,95.57,96.0,863820.0
2025-10-21,96.33,96.48,95.0,95.54,823745.0
2025-10-23,96.0,96.24,95.74,95.99,636084.0
2025-10-24,96.27,96.27,95.09,95.39,1006290.0
2025-10-27,95.99,96.05,95.55,95.87,814566.0
2025-10-28,96.04,97.5,95.95,96.84,950333.0
2025-10-29,97.4,97.49,96.4,96.62,840394.0
2025-10-30,97.4,97.48,96.99,97.15,766588.0
2025-10-31,97.44,97.75,97.26,97.55,628862.0
2025-11-03,97.97,97.97,97.25,97.43,970339.0
2025-11-04,97.43,97.89,96.26,96.54,1354252.0
2025-11-06,97.2,97.6,96.64,97.09,1725497.0
2025-11-07,97.39,98.19,97.0,97.27,1773508.0
2025-11-10,95.6,95.6,94.63,95.35,907837.0
2025-11-11,95.45,95.45,94.7,95.01,682098.0
2025-11-12,94.79,95.18,94.6,94.95,771584.0
2025-11-13,94.94,95.3,94.6,94.76,830921.0
2025-11-14,94.76,95.0,94.56,94.86,580506.0
2025-11-17,94.86,95.3,94.86,95.0,1416642.0
2025-11-18,95.23,95.23,94.82,94.99,524508.0
2025-11-19,95.15,96.1,94.91,95.94,1980022.0
2025-11-21,95.52,96.0,95.2,95.52,735140.0
2025-11-24,95.96,95.96,94.55,94.83,1260011.0
2025-11-25,95.02,95.74,94.25,94.49,1823391.0
2025-11-26,94.9,95.15,94.4,94.44,1260710.0
2025-11-27,94.94,95.05,94.46,94.9,578230.0
2025-11-28,94.98,94.99,94.5,94.64,910271.0
2025-12-01,95.0,95.0,94.55,94.71,912424.0
2025-12-02,94.9,95.0,94.41,94.9,680088.0
2025-12-03,94.97,95.0,93.76,94.2,1828228.0
